payment_id,invoice_id,payment_date,payment_method,amount_paid
PAY000001,INV00001,2024-05-13,Credit Card,1698.88
PAY000002,INV00002,2025-10-09,Credit Card,2588.16
PAY000003,INV00003,2025-03-20,Cash,1066.82
PAY000004,INV00004,2024-10-02,Cash,1514.51
PAY000005,INV00005,2025-09-18,Credit Card,1159.07
PAY000006,INV00006,2025-02-02,,79.91
PAY000007,INV00007,2025-04-23,Bank Transfer,1180.3
PAY000008,INV00008,2025-02-24,Credit Card,3188.3
PAY000009,INV00009,2025-07-14,Cash,4433.9
PAY000010,INV00010,2026-01-18,Credit Card,5014.08
PAY000011,INV00011,2024-03-23,Bank Transfer,1058.92
PAY000012,INV00012,2024-04-28,Cash,1145.54
PAY000013,INV00012,2024-05-08,Cash,905.51
PAY000014,INV00013,2025-10-18,Credit Card,3268.8
PAY000015,INV00014,2024-03-16,Credit Card,2193.9
PAY000016,INV00015,2024-09-24,Cash,1799.52
PAY000017,INV00015,2024-10-30,Credit Card,1191.17
PAY000018,INV00017,2024-10-02,Bank Transfer,7610.21
PAY000019,INV00018,2026-01-22,Credit Card,4081.56
PAY000020,INV00019,2024-12-04,Credit Card,4696.18
PAY000021,INV00020,2024-10-27,Cash,815.41
PAY000022,INV00022,2024-05-06,Credit Card,7295.33
PAY000023,INV00023,2024-02-22,Cash,2932.27
PAY000024,INV00023,2024-02-25,Bank Transfer,1345.72
PAY000025,INV00024,2025-12-29,Bank Transfer,4824.71
PAY000026,INV00025,2024-05-23,Credit Card,218.71
PAY000027,INV00025,2024-04-26,Credit Card,487.74
PAY000028,INV00026,2025-03-21,Credit Card,1755.12
PAY000029,INV00029,2025-01-25,Cash,811.12
PAY000030,INV00030,2025-08-09,Credit Card,1983.67
PAY000031,INV00031,2024-08-04,Cash,1420.86
PAY000032,INV00032,2024-10-20,Bank Transfer,9932.93
PAY000033,INV00033,2024-10-02,Cash,1671.6
PAY000034,INV00035,2024-07-25,Bank Transfer,1931.75
PAY000035,INV00036,2024-05-25,Bank Transfer,2145.05
PAY000036,INV00037,2024-04-13,Bank Transfer,4120.94
PAY000037,INV00038,2024-05-18,Credit Card,4974.17
PAY000038,INV00039,2025-02-19,Cash,5772.07
PAY000039,INV00040,2025-02-17,Credit Card,4461.22
PAY000040,INV00041,2025-05-22,Bank Transfer,4394.51
PAY000041,INV00042,2024-04-04,Bank Transfer,3245.14
PAY000042,INV00043,2025-11-24,Bank Transfer,911.16
PAY000043,INV00044,2024-07-04,Credit Card,2515.87
PAY000044,INV00045,2025-07-11,Bank Transfer,1096.49
PAY000045,INV00046,2024-09-23,Cash,1177.97
PAY000046,INV00047,2024-08-30,Credit Card,2529.42
PAY000047,INV00048,2025-07-03,Cash,1709.87
PAY000048,INV00049,2025-03-29,Credit Card,2461.39
PAY000049,INV00050,2024-11-22,Bank Transfer,826.66
PAY000050,INV00050,2024-12-31,Bank Transfer,965.94
PAY000051,INV00051,2025-07-10,Bank Transfer,3032.65
PAY000052,INV00052,2025-04-02,Cash,2604.23
PAY000053,INV00053,2025-09-10,Credit Card,6872.69
PAY000054,INV00054,2024-05-23,Bank Transfer,397.55
PAY000055,INV00055,2025-12-29,Bank Transfer,1045.84
PAY000056,INV00056,2024-07-08,Bank Transfer,5476.6
PAY000057,INV00057,2024-04-17,Bank Transfer,633.28
PAY000058,INV00058,2025-04-01,Cash,2997.1
PAY000059,INV00058,2025-04-20,Bank Transfer,2071.14
PAY000060,INV00059,2025-11-21,Cash,7649.9
PAY000061,INV00060,2025-09-16,Credit Card,3265.25
PAY000062,INV00062,2024-10-03,Credit Card,4117.86
PAY000063,INV00063,2026-01-22,Credit Card,3111.58
PAY000064,INV00064,2025-01-22,Credit Card,1373.56
PAY000065,INV00065,2024-07-31,Cash,553.54
PAY000066,INV00066,2025-10-01,Credit Card,666.23
PAY000067,INV00067,2025-06-28,Cash,408.49
PAY000068,INV00068,2024-04-07,Bank Transfer,1922.35
PAY000069,INV00070,2024-02-27,Credit Card,2650.81
PAY000070,INV00071,2025-10-31,Cash,3408.23
PAY000071,INV00072,2024-12-25,Credit Card,293.05
PAY000072,INV00073,2025-10-15,Credit Card,3261.64
PAY000073,INV00074,2025-12-17,Cash,513.35
PAY000074,INV00075,2024-12-20,Credit Card,2531.56
PAY000075,INV00076,2026-01-02,Cash,2726.46
PAY000076,INV00077,2025-07-28,Bank Transfer,543.69
PAY000077,INV00077,2025-07-18,Bank Transfer,588.45
PAY000078,INV00078,2025-04-20,Bank Transfer,1316.34
PAY000079,INV00079,2025-03-16,Credit Card,3008.82
PAY000080,INV00080,2024-08-16,Credit Card,6295.68
PAY000081,INV00081,2025-03-20,Bank Transfer,219.12
PAY000082,INV00081,2025-03-24,Credit Card,106.38
PAY000083,INV00082,2024-08-07,Bank Transfer,3562.85
PAY000084,INV00083,2024-10-02,Cash,559.62
PAY000085,INV00084,2024-12-02,Cash,2072.96
PAY000086,INV00085,2025-02-21,Credit Card,2643.69
PAY000087,INV00086,2024-11-29,Credit Card,1934.98
PAY000088,INV00087,2025-12-17,Credit Card,1560.2
PAY000089,INV00088,2025-07-16,Bank Transfer,162.8
PAY000090,INV00089,2024-11-19,Bank Transfer,2159.83
PAY000091,INV00090,2025-04-08,Credit Card,1916.92
PAY000092,INV00092,2024-06-28,Cash,4234.74
PAY000093,INV00093,2025-07-31,Credit Card,2274.8
PAY000094,INV00094,2025-02-21,Credit Card,1150.29
PAY000095,INV00095,2025-12-30,Bank Transfer,2453.96
