sale_id,invoice_id,product_id,sale_date,quantity,unit_price,discount_rate,revenue
S000001,INV00001,P009,2024-05-12,3,555.19,0.15,1415.73
S000002,INV00002,P013,2025-10-03,4,499.96,0.0,1999.84
S000003,INV00002,P019,2025-10-03,2,298.11,0.05,566.41
S000004,INV00002,P006,2025-10-03,5,187.1,0.0,935.5
S000005,INV00002,P002,2025-10-03,4,348.25,0.05,1323.35
S000006,INV00003,P014,2025-02-07,1,365.65,0.15,310.8
S000007,INV00003,P017,2025-02-07,1,680.26,0.15,578.22
S000008,INV00004,P010,2024-08-22,3,358.33,0.0,1074.99
S000009,INV00004,P006,2024-08-22,1,187.1,0.0,187.1
S000010,INV00005,P008,2025-08-31,1,24.11,0.05,22.9
S000011,INV00005,P019,2025-08-31,2,298.11,0.15,506.79
S000012,INV00005,P005,2025-08-31,2,66.59,0.0,133.18
S000013,INV00005,P007,2025-08-31,3,118.83,0.15,303.02
S000014,INV00006,P005,2025-01-07,1,66.59,0.0,66.59
S000015,INV00007,P001,2025-04-21,1,564.89,0.15,480.16
S000016,INV00007,P004,2025-04-21,2,296.13,0.15,503.42
S000017,INV00008,P006,2025-02-02,3,187.1,0.05,533.23
S000018,INV00008,P012,2025-02-02,4,490.89,0.1,1767.2
S000019,INV00008,P007,2025-02-02,3,118.83,0.0,356.49
S000020,INV00009,P004,2025-07-03,1,296.13,0.0,296.13
S000021,INV00009,P007,2025-07-03,4,118.83,0.15,404.02
S000022,INV00009,P021,2025-07-03,5,285.53,0.0,1427.65
S000023,INV00009,P002,2025-07-03,5,348.25,0.1,1567.12
S000024,INV00010,P009,2025-11-29,2,555.19,0.0,1110.38
S000025,INV00010,P013,2025-11-29,4,499.96,0.0,1999.84
S000026,INV00010,P005,2025-11-29,3,66.59,0.1,179.79
S000027,INV00010,P004,2025-11-29,3,296.13,0.0,888.39
S000028,INV00011,P014,2024-02-06,2,365.65,0.05,694.73
S000029,INV00011,P010,2024-02-06,2,358.33,0.1,644.99
S000030,INV00012,P010,2024-04-28,4,358.33,0.15,1218.32
S000031,INV00012,P012,2024-04-28,1,490.89,0.0,490.89
S000032,INV00013,P019,2025-10-12,3,298.11,0.05,849.61
S000033,INV00013,P010,2025-10-12,3,358.33,0.0,1074.99
S000034,INV00013,P016,2025-10-12,2,135.67,0.1,244.21
S000035,INV00013,P009,2025-10-12,1,555.19,0.0,555.19
S000036,INV00014,P014,2024-02-26,5,365.65,0.0,1828.25
S000037,INV00015,P005,2024-09-18,4,66.59,0.0,266.36
S000038,INV00015,P008,2024-09-18,4,24.11,0.0,96.44
S000039,INV00015,P011,2024-09-18,1,292.74,0.0,292.74
S000040,INV00015,P017,2024-09-18,3,680.26,0.1,1836.7
S000041,INV00016,P005,2024-11-19,3,66.59,0.0,199.77
S000042,INV00017,P018,2024-08-24,3,588.71,0.05,1677.82
S000043,INV00017,P004,2024-08-24,2,296.13,0.15,503.42
S000044,INV00017,P015,2024-08-24,5,151.86,0.0,759.3
S000045,INV00017,P017,2024-08-24,5,680.26,0.0,3401.3
S000046,INV00018,P017,2025-12-18,5,680.26,0.0,3401.3
S000047,INV00019,P019,2024-11-11,4,298.11,0.0,1192.44
S000048,INV00019,P017,2024-11-11,4,680.26,0.0,2721.04
S000049,INV00020,P021,2024-09-13,2,285.53,0.05,542.51
S000050,INV00020,P008,2024-09-13,1,24.11,0.0,24.11
S000051,INV00020,P007,2024-09-13,1,118.83,0.05,112.89
S000052,INV00021,P005,2025-02-15,1,66.59,0.05,63.26
S000053,INV00021,P011,2025-02-15,1,292.74,0.1,263.47
S000054,INV00021,P018,2025-02-15,5,588.71,0.0,2943.55
S000055,INV00022,P001,2024-03-16,4,564.89,0.15,1920.63
S000056,INV00022,P012,2024-03-16,3,490.89,0.0,1472.67
S000057,INV00022,P017,2024-03-16,1,680.26,0.0,680.26
S000058,INV00022,P020,2024-03-16,4,501.47,0.0,2005.88
